Year,Month,Value
1995,Jan,6449
1996,Jan,10208
1997,Jan,8729
1998,Jan,8698
1999,Jan,9198
2000,Jan,4215
2001,Jan,5296
2002,Jan,3996
2003,Jan,5556
2004,Jan,8041
2005,Jan,5946
2006,Jan,7643
2007,Jan,7335
2008,Jan,6440
2009,Jan,5309
2010,Jan,5569
2011,Jan,8081
2012,Jan,10446
2013,Jan,7550
2014,Jan,13134
2015,Jan,5983
2016,Jan,5672
2017,Jan,10547
2018,Jan,12152
2019,Jan,17692
2020,Jan,16800
2021,Jan,4029
2022,Jan,3915
2023,Jan,16436
2024,Jan,24074
1995,Feb,8758
1996,Feb,6047
1997,Feb,8710
1998,Feb,10101
1999,Feb,8875
2000,Feb,5020
2001,Feb,5917
2002,Feb,3708
2003,Feb,5028
2004,Feb,6888
2005,Feb,3277
2006,Feb,4408
2007,Feb,6801
2008,Feb,6341
2009,Feb,6023
2010,Feb,5975
2011,Feb,8294
2012,Feb,11158
2013,Feb,9069
2014,Feb,10135
2015,Feb,7272
2016,Feb,6549
2017,Feb,11196
2018,Feb,7570
2019,Feb,17668
2020,Feb,14840
2021,Feb,4769
2022,Feb,6015
2023,Feb,18401
2024,Feb,25540
1995,Mar,8838
1996,Mar,7598
1997,Mar,9788
1998,Mar,8241
1999,Mar,8060
2000,Mar,5985
2001,Mar,6025
2002,Mar,3713
2003,Mar,5477
2004,Mar,8822
2005,Mar,4028
2006,Mar,6704
2007,Mar,6700
2008,Mar,7371
2009,Mar,3617
2010,Mar,6426
2011,Mar,9110
2012,Mar,16269
2013,Mar,15263
2014,Mar,9906
2015,Mar,7614
2016,Mar,7849
2017,Mar,12729
2018,Mar,14411
2019,Mar,18256
2020,Mar,6793
2021,Mar,7652
2022,Mar,15034
2023,Mar,25911
2024,Mar,30642
1995,Apr,10575
1996,Apr,10873
1997,Apr,10886
1998,Apr,12090
1999,Apr,11137
2000,Apr,7205
2001,Apr,6872
2002,Apr,4376
2003,Apr,5548
2004,Apr,7235
2005,Apr,5103
2006,Apr,3548
2007,Apr,8148
2008,Apr,6523
2009,Apr,8399
2010,Apr,8301
2011,Apr,10662
2012,Apr,16051
2013,Apr,12073
2014,Apr,12888
2015,Apr,9515
2016,Apr,9383
2017,Apr,14595
2018,Apr,16612
2019,Apr,17106
2020,Apr,2
2021,Apr,13173
2022,Apr,22476
2023,Apr,31437
2024,Apr,30066
1995,May,15352
1996,May,15686
1997,May,18620
1998,May,20167
1999,May,20407
2000,May,9705
2001,May,10939
2002,May,8136
2003,May,7416
2004,May,11221
2005,May,10103
2006,May,9353
2007,May,12558
2008,May,10791
2009,May,9675
2010,May,11489
2011,May,16510
2012,May,20177
2013,May,19539
2014,May,20579
2015,May,3823
2016,May,12351
2017,May,20011
2018,May,21728
2019,May,26015
2020,May,26
2021,May,587
2022,May,26754
2023,May,36575
2024,May,38198
1995,Jun,16380
1996,Jun,16972
1997,Jun,16394
1998,Jun,17986
1999,Jun,18318
2000,Jun,14897
2001,Jun,4101
2002,Jun,8880
2003,Jun,12516
2004,Jun,10017
2005,Jun,11438
2006,Jun,14369
2007,Jun,12379
2008,Jun,11427
2009,Jun,14671
2010,Jun,15296
2011,Jun,21034
2012,Jun,23546
2013,Jun,26092
2014,Jun,20707
2015,Jun,5194
2016,Jun,12420
2017,Jun,20118
2018,Jun,20899
2019,Jun,30514
2020,Jun,7
2021,Jun,363
2022,Jun,23248
2023,Jun,38845
2024,Jun,37753
1995,July,9839
1996,July,8960
1997,July,10067
1998,July,12171
1999,July,10411
2000,July,7638
2001,July,4364
2002,July,6659
2003,July,9054
2004,July,7790
2005,July,9075
2006,July,10117
2007,July,9277
2008,July,7330
2009,July,10490
2010,July,14718
2011,July,13786
2012,July,15158
2013,July,16345
2014,July,8979
2015,July,5066
2016,July,10618
2017,July,10193
2018,July,18385
2019,July,22120
2020,July,41
2021,July,1106
2022,July,17399
2023,July,21357
2024,July,21451
1995,Aug,7475
1996,Aug,7247
1997,Aug,10777
1998,Aug,9787
1999,Aug,9047
2000,Aug,7465
2001,Aug,3664
2002,Aug,5578
2003,Aug,8419
2004,Aug,5505
2005,Aug,10791
2006,Aug,8184
2007,Aug,7025
2008,Aug,7927
2009,Aug,8053
2010,Aug,11500
2011,Aug,16194
2012,Aug,14374
2013,Aug,10836
2014,Aug,7933
2015,Aug,7035
2016,Aug,11417
2017,Aug,14057
2018,Aug,18295
2019,Aug,27553
2020,Aug,23
2021,Aug,1990
2022,Aug,16147
2023,Aug,26665
2024,Aug,25773
1995,Sep,8225
1996,Sep,8980
1997,Sep,7637
1998,Sep,10423
1999,Sep,10467
2000,Sep,8880
2001,Sep,5038
2002,Sep,4984
2003,Sep,6147
2004,Sep,3667
2005,Sep,8653
2006,Sep,7035
2007,Sep,6739
2008,Sep,7752
2009,Sep,6530
2010,Sep,10198
2011,Sep,12473
2012,Sep,11729
2013,Sep,14843
2014,Sep,7087
2015,Sep,6699
2016,Sep,10527
2017,Sep,8351
2018,Sep,15354
2019,Sep,18502
2020,Sep,41
2021,Sep,3532
2022,Sep,14471
2023,Sep,28694
2024,Sep,22884
1995,Oct,8447
1996,Oct,9175
1997,Oct,10162
1998,Oct,12700
1999,Oct,12444
2000,Oct,8095
2001,Oct,4047
2002,Oct,5021
2003,Oct,7419
2004,Oct,5269
2005,Oct,10945
2006,Oct,6644
2007,Oct,4899
2008,Oct,5483
2009,Oct,6930
2010,Oct,9148
2011,Oct,10008
2012,Oct,6843
2013,Oct,22263
2014,Oct,8029
2015,Oct,4901
2016,Oct,7575
2017,Oct,10668
2018,Oct,11647
2019,Oct,15610
2020,Oct,107
2021,Oct,8739
2022,Oct,16910
2023,Oct,18480
2024,Oct,16254
1995,Nov,7605
1996,Nov,8429
1997,Nov,9461
1998,Nov,8816
1999,Nov,10030
2000,Nov,7675
2001,Nov,4487
2002,Nov,4679
2003,Nov,6648
2004,Nov,7051
2005,Nov,6727
2006,Nov,6717
2007,Nov,5451
2008,Nov,4932
2009,Nov,5756
2010,Nov,10233
2011,Nov,11024
2012,Nov,8570
2013,Nov,15855
2014,Nov,7162
2015,Nov,5762
2016,Nov,10686
2017,Nov,11914
2018,Nov,15743
2019,Nov,19680
2020,Nov,123
2021,Nov,10420
2022,Nov,20532
2023,Nov,24443
2024,Nov,19858
1995,Dec,9317
1996,Dec,12337
1997,Dec,12207
1998,Dec,12049
1999,Dec,12267
2000,Dec,9135
2001,Dec,3570
2002,Dec,7047
2003,Dec,7135
2004,Dec,8820
2005,Dec,10348
2006,Dec,9000
2007,Dec,8698
2008,Dec,8860
2009,Dec,8431
2010,Dec,12045
2011,Dec,12328
2012,Dec,11494
2013,Dec,11247
2014,Dec,8804
2015,Dec,6260
2016,Dec,13202
2017,Dec,15889
2018,Dec,21527
2019,Dec,23434
2020,Dec,1563
2021,Dec,8314
2022,Dec,26433
2023,Dec,32692
2024,Dec,24471
