Year;Month;Value
1995;Jan;15758
1996;Jan;17678
1997;Jan;16856
1998;Jan;20124
1999;Jan;20554
2000;Jan;21092
2001;Jan;25158
2002;Jan;13180
2003;Jan;15659
2004;Jan;22947
2005;Jan;19531
2006;Jan;21126
2007;Jan;25857
2008;Jan;30473
2009;Jan;23969
2010;Jan;28076
2011;Jan;34541
2012;Jan;42055
2013;Jan;40296
2014;Jan;57062
2015;Jan;32633
2016;Jan;36563
2017;Jan;52085
2018;Jan;61035
2019;Jan;63581
2020;Jan;62820
2021;Jan;4845
2022;Jan;13060
2023;Jan;38638
2024;Jan;54962
1995;Feb;19482
1996;Feb;23629
1997;Feb;24151
1998;Feb;27855
1999;Feb;29259
2000;Feb;33939
2001;Feb;32763
2002;Feb;16960
2003;Feb;19321
2004;Feb;28743
2005;Feb;17061
2006;Feb;21320
2007;Feb;33133
2008;Feb;40334
2009;Feb;34594
2010;Feb;43289
2011;Feb;48045
2012;Feb;55301
2013;Feb;58195
2014;Feb;58874
2015;Feb;51251
2016;Feb;54272
2017;Feb;72865
2018;Feb;81937
2019;Feb;84755
2020;Feb;83304
2021;Feb;4499
2022;Feb;13841
2023;Feb;54854
2024;Feb;71845
1995;Mar;25381
1996;Mar;31738
1997;Mar;33389
1998;Mar;33097
1999;Mar;38158
2000;Mar;38959
2001;Mar;40684
2002;Mar;25102
2003;Mar;22260
2004;Mar;35468
2005;Mar;25847
2006;Mar;30169
2007;Mar;48022
2008;Mar;51364
2009;Mar;45950
2010;Mar;56632
2011;Mar;58455
2012;Mar;72882
2013;Mar;73434
2014;Mar;70008
2015;Mar;71573
2016;Mar;68595
2017;Mar;93562
2018;Mar;110275
2019;Mar;109095
2020;Mar;35962
2021;Mar;7602
2022;Mar;27118
2023;Mar;73515
2024;Mar;97468
1995;Apr;23419
1996;Apr;25458
1997;Apr;24343
1998;Apr;28997
1999;Apr;29637
2000;Apr;36430
2001;Apr;32211
2002;Apr;16877
2003;Apr;20303
2004;Apr;26279
2005;Apr;18311
2006;Apr;18435
2007;Apr;32794
2008;Apr;31952
2009;Apr;34938
2010;Apr;37208
2011;Apr;49089
2012;Apr;53745
2013;Apr;53079
2014;Apr;67165
2015;Apr;56214
2016;Apr;50831
2017;Apr;73996
2018;Apr;82038
2019;Apr;92293
2020;Apr;12
2021;Apr;9559
2022;Apr;39113
2023;Apr;67336
2024;Apr;81217
1995;May;12491
1996;May;14042
1997;May;14836
1998;May;15647
1999;May;22305
2000;May;18658
2001;May;17406
2002;May;11751
2003;May;15288
2004;May;15581
2005;May;15438
2006;May;13517
2007;May;23296
2008;May;19619
2009;May;20362
2010;May;21053
2011;May;29692
2012;May;30140
2013;May;33295
2014;May;41979
2015;May;13746
2016;May;34332
2017;May;42762
2018;May;47097
2019;May;52314
2020;May;24
2021;May;944
2022;May;27339
2023;May;41128
2024;May;51917
1995;Jun;9270
1996;Jun;9777
1997;Jun;9973
1998;Jun;11195
1999;Jun;12731
2000;Jun;12036
2001;Jun;8929
2002;Jun;8338
2003;Jun;7835
2004;Jun;9776
2005;Jun;11170
2006;Jun;11841
2007;Jun;18937
2008;Jun;12922
2009;Jun;17078
2010;Jun;17967
2011;Jun;25081
2012;Jun;30084
2013;Jun;28507
2014;Jun;30024
2015;Jun;13174
2016;Jun;26432
2017;Jun;35838
2018;Jun;44260
2019;Jun;44369
2020;Jun;76
2021;Jun;824
2022;Jun;23709
2023;Jun;33405
2024;Jun;38899
1995;July;14141
1996;July;13724
1997;July;16024
1998;July;15724
1999;July;16782
2000;July;16842
2001;July;13965
2002;July;9962
2003;July;13607
2004;July;17070
2005;July;14921
2006;July;15066
2007;July;26160
2008;July;18097
2009;July;19942
2010;July;24273
2011;July;28875
2012;July;34837
2013;July;37666
2014;July;37567
2015;July;17901
2016;July;37497
2017;July;32047
2018;July;54896
2019;July;48796
2020;July;170
2021;July;1987
2022;July;27063
2023;July;36369
2024;July;43107
1995;Aug;20211
1996;Aug;21833
1997;Aug;24772
1998;Aug;26387
1999;Aug;29402
2000;Aug;27205
2001;Aug;21658
2002;Aug;15515
2003;Aug;19149
2004;Aug;27657
2005;Aug;26119
2006;Aug;24966
2007;Aug;37658
2008;Aug;32084
2009;Aug;36121
2010;Aug;43172
2011;Aug;55204
2012;Aug;57590
2013;Aug;57642
2014;Aug;51828
2015;Aug;31571
2016;Aug;54924
2017;Aug;59721
2018;Aug;69384
2019;Aug;67196
2020;Aug;244
2021;Aug;4103
2022;Aug;25157
2023;Aug;40488
2024;Aug;46884
1995;Sep;22344
1996;Sep;23201
1997;Sep;24344
1998;Sep;29241
1999;Sep;33650
2000;Sep;34643
2001;Sep;26132
2002;Sep;18768
2003;Sep;22577
2004;Sep;21829
2005;Sep;27413
2006;Sep;26327
2007;Sep;38813
2008;Sep;33870
2009;Sep;36241
2010;Sep;44650
2011;Sep;50560
2012;Sep;54654
2013;Sep;51912
2014;Sep;45807
2015;Sep;32351
2016;Sep;64143
2017;Sep;60283
2018;Sep;76520
2019;Sep;74102
2020;Sep;543
2021;Sep;6375
2022;Sep;43843
2023;Sep;62318
2024;Sep;73317
1995;Oct;38398
1996;Oct;38139
1997;Oct;46110
1998;Oct;49787
1999;Oct;54099
2000;Oct;51100
2001;Oct;37198
2002;Oct;30251
2003;Oct;38040
2004;Oct;38104
2005;Oct;40553
2006;Oct;43026
2007;Oct;65745
2008;Oct;60938
2009;Oct;65592
2010;Oct;69982
2011;Oct;86988
2012;Oct;79536
2013;Oct;77163
2014;Oct;72964
2015;Oct;51683
2016;Oct;81706
2017;Oct;101824
2018;Oct;119098
2019;Oct;118486
2020;Oct;1918
2021;Oct;14599
2022;Oct;71672
2023;Oct;98826
2024;Oct;108078
1995;Nov;28177
1996;Nov;29221
1997;Nov;30712
1998;Nov;38587
1999;Nov;38835
2000;Nov;45318
2001;Nov;25795
2002;Nov;24044
2003;Nov;31750
2004;Nov;29330
2005;Nov;34778
2006;Nov;37402
2007;Nov;46822
2008;Nov;47467
2009;Nov;48667
2010;Nov;57304
2011;Nov;72436
2012;Nov;74603
2013;Nov;59630
2014;Nov;69143
2015;Nov;52542
2016;Nov;62304
2017;Nov;87890
2018;Nov;132116
2019;Nov;110622
2020;Nov;1831
2021;Nov;15715
2022;Nov;52121
2023;Nov;84187
2024;Nov;94581
1995;Dec;17063
1996;Dec;22661
1997;Dec;22909
1998;Dec;23814
1999;Dec;25431
2000;Dec;31509
2001;Dec;15018
2002;Dec;17943
2003;Dec;25980
2004;Dec;22187
2005;Dec;27822
2006;Dec;27009
2007;Dec;33458
2008;Dec;29980
2009;Dec;32618
2010;Dec;38363
2011;Dec;47745
2012;Dec;51850
2013;Dec;45822
2014;Dec;52354
2015;Dec;39207
2016;Dec;63154
2017;Dec;67077
2018;Dec;100093
2019;Dec;77432
2020;Dec;2845
2021;Dec;15238
2022;Dec;41499
2023;Dec;63882
2024;Dec;67492
1995;Total;246135
1996;Total;271101
1997;Total;288419
1998;Total;320455
1999;Total;350843
2000;Total;367731
2001;Total;296917
2002;Total;208691
2003;Total;251769
2004;Total;294971
2005;Total;278964
2006;Total;290204
2007;Total;430695
2008;Total;409100
2009;Total;416072
2010;Total;481969
2011;Total;586711
2012;Total;637277
2013;Total;616642
2014;Total;654775
2015;Total;463846
2016;Total;634753
2017;Total;779950
2018;Total;978749
2019;Total;943041
2020;Total;189749
2021;Total;86290
2022;Total;405535
2023;Total;694946
2024;Total;829767
